rms_x,rms_y,rms_z,pw,label
0.04,1.09,0.04,160.71,bearing
0.04,1.09,0.04,157.15,bearing
0.04,1.09,0.04,162.98,bearing
0.04,1.09,0.04,158.11,bearing
0.04,1.09,0.04,166.88,bearing
0.04,1.09,0.04,167.52,bearing
0.04,1.09,0.04,159.98,bearing
0.04,1.08,0.04,157.19,bearing
0.04,1.09,0.04,154.50,bearing
0.04,1.09,0.04,163.37,bearing
0.04,1.08,0.04,158.11,bearing
0.04,1.09,0.04,154.36,bearing
0.04,1.09,0.04,161.00,bearing
0.04,1.09,0.04,160.38,bearing
0.04,1.08,0.04,161.89,bearing
0.04,1.09,0.04,167.94,bearing
0.04,1.08,0.04,168.05,bearing
0.04,1.09,0.04,159.52,bearing
0.04,1.09,0.04,153.46,bearing
0.04,1.09,0.04,163.46,bearing
0.04,1.08,0.04,155.58,bearing
0.04,1.08,0.04,162.74,bearing
0.04,1.08,0.04,161.32,bearing
0.04,1.09,0.04,158.81,bearing
0.04,1.09,0.04,158.00,bearing
0.04,1.09,0.04,166.75,bearing
0.04,1.09,0.04,161.10,bearing
0.04,1.09,0.04,154.75,bearing
0.04,1.08,0.04,162.63,bearing
0.04,1.09,0.04,164.74,bearing
0.04,1.09,0.04,160.39,bearing
0.04,1.09,0.04,159.42,bearing
0.04,1.09,0.04,165.59,bearing
0.04,1.09,0.04,163.29,bearing
0.04,1.09,0.04,156.87,bearing
0.04,1.09,0.04,165.26,bearing
0.04,1.09,0.04,162.03,bearing
0.04,1.09,0.04,160.84,bearing
0.04,1.09,0.04,156.92,bearing
0.04,1.09,0.04,162.21,bearing
0.04,1.08,0.04,161.66,bearing
0.04,1.08,0.04,153.85,bearing
0.04,1.09,0.04,161.33,bearing
0.04,1.09,0.04,156.54,bearing
0.04,1.09,0.04,156.89,bearing
0.04,1.09,0.04,157.65,bearing
0.04,1.09,0.04,164.60,bearing
0.04,1.09,0.04,158.65,bearing
0.04,1.09,0.04,168.97,bearing
0.04,1.09,0.04,166.06,bearing
0.04,1.09,0.04,162.21,bearing
0.04,1.09,0.04,164.38,bearing
0.04,1.09,0.04,155.66,bearing
0.04,1.08,0.04,163.43,bearing
0.04,1.08,0.04,156.74,bearing
0.04,1.08,0.04,151.90,bearing
0.04,1.08,0.04,156.70,bearing
0.04,1.09,0.04,158.77,bearing
0.04,1.09,0.04,156.71,bearing
0.04,1.09,0.04,167.81,bearing
0.04,1.09,0.04,165.63,bearing
0.04,1.09,0.04,158.01,bearing
0.04,1.09,0.04,163.66,bearing
0.04,1.08,0.04,161.63,bearing
0.04,1.09,0.04,163.66,bearing
0.04,1.09,0.04,157.51,bearing
0.04,1.09,0.04,160.33,bearing
0.04,1.09,0.04,162.39,bearing
0.04,1.09,0.04,155.67,bearing
0.04,1.08,0.04,163.91,bearing
0.04,1.09,0.04,163.55,bearing
0.04,1.09,0.04,162.63,bearing
0.04,1.09,0.04,157.91,bearing
0.04,1.09,0.04,163.48,bearing
