rms_x,rms_y,rms_z,pw,label
0.05,1.09,0.05,142.61,normal
0.05,1.09,0.05,147.38,normal
0.05,1.09,0.05,144.29,normal
0.05,1.09,0.05,137.22,normal
0.05,1.09,0.04,142.56,normal
0.05,1.09,0.05,140.33,normal
0.05,1.09,0.05,141.44,normal
0.05,1.09,0.05,145.10,normal
0.05,1.09,0.05,135.90,normal
0.05,1.09,0.05,133.05,normal
0.05,1.09,0.05,143.32,normal
0.05,1.09,0.05,141.96,normal
0.05,1.09,0.04,139.81,normal
0.05,1.09,0.05,138.53,normal
0.05,1.09,0.05,132.84,normal
0.05,1.09,0.05,140.72,normal
0.05,1.09,0.04,139.71,normal
0.05,1.09,0.05,139.13,normal
0.05,1.09,0.05,138.09,normal
0.05,1.09,0.05,142.94,normal
0.05,1.09,0.05,135.12,normal
0.05,1.09,0.04,145.56,normal
0.05,1.09,0.05,140.51,normal
0.05,1.09,0.05,140.73,normal
0.05,1.09,0.05,144.06,normal
0.05,1.09,0.05,135.83,normal
0.05,1.09,0.05,139.07,normal
0.05,1.09,0.04,141.48,normal
0.05,1.09,0.05,140.77,normal
0.05,1.09,0.05,143.53,normal
0.05,1.09,0.05,135.12,normal
0.05,1.09,0.05,131.78,normal
0.05,1.09,0.04,140.57,normal
0.05,1.09,0.05,134.63,normal
0.05,1.09,0.05,135.64,normal
0.05,1.09,0.05,139.12,normal
0.05,1.09,0.05,142.14,normal
0.05,1.09,0.05,135.17,normal
0.05,1.09,0.05,144.38,normal
0.05,1.09,0.05,134.47,normal
0.05,1.09,0.05,144.03,normal
0.05,1.09,0.05,141.74,normal
0.05,1.09,0.05,135.25,normal
0.05,1.09,0.05,143.97,normal
0.05,1.09,0.05,142.76,normal
0.05,1.09,0.05,138.41,normal
0.05,1.09,0.05,144.28,normal
0.05,1.09,0.05,138.99,normal
0.05,1.09,0.05,135.69,normal
0.05,1.09,0.04,136.65,normal
0.05,1.09,0.04,130.32,normal
0.05,1.09,0.05,135.06,normal
0.05,1.09,0.04,140.31,normal
0.05,1.09,0.05,137.18,normal
0.05,1.09,0.05,137.64,normal
0.05,1.09,0.05,136.42,normal
0.04,1.09,0.05,132.73,normal
0.05,1.09,0.04,149.34,normal
0.05,1.09,0.05,137.62,normal
0.05,1.09,0.05,145.36,normal
0.05,1.09,0.05,142.36,normal
0.05,1.09,0.05,134.83,normal
0.05,1.09,0.05,141.64,normal
0.05,1.09,0.05,143.37,normal
0.05,1.09,0.05,139.31,normal
0.05,1.09,0.05,143.55,normal
0.05,1.09,0.05,139.30,normal
0.05,1.09,0.04,138.90,normal
0.05,1.09,0.05,143.83,normal
0.05,1.09,0.05,134.19,normal
0.05,1.09,0.05,132.77,normal
0.05,1.09,0.04,144.78,normal
0.05,1.09,0.05,139.54,normal
0.05,1.09,0.05,145.65,normal
0.05,1.09,0.05,140.10,normal
0.04,1.09,0.05,136.17,normal
0.05,1.09,0.05,141.61,normal
0.05,1.09,0.05,144.28,normal
0.05,1.09,0.05,140.54,normal
0.05,1.09,0.05,145.27,normal
