rms_x,rms_y,rms_z,pw,label
0.06,1.09,0.05,71.81,fluctuations
0.06,1.09,0.05,79.70,fluctuations
0.06,1.09,0.05,88.95,fluctuations
0.06,1.09,0.05,97.80,fluctuations
0.06,1.09,0.05,107.33,fluctuations
0.06,1.09,0.05,117.74,fluctuations
0.06,1.09,0.05,125.64,fluctuations
0.06,1.09,0.05,132.72,fluctuations
0.06,1.09,0.05,141.49,fluctuations
0.06,1.09,0.05,150.92,fluctuations
0.06,1.09,0.05,157.86,fluctuations
0.06,1.09,0.05,174.30,fluctuations
0.06,1.09,0.05,182.03,fluctuations
0.06,1.09,0.05,180.81,fluctuations
0.06,1.09,0.05,176.41,fluctuations
0.06,1.09,0.05,178.75,fluctuations
0.06,1.09,0.05,176.55,fluctuations
0.06,1.09,0.05,173.33,fluctuations
0.06,1.09,0.05,172.44,fluctuations
0.06,1.09,0.05,161.69,fluctuations
0.06,1.09,0.05,162.10,fluctuations
0.06,1.09,0.05,164.00,fluctuations
0.06,1.09,0.05,157.50,fluctuations
0.06,1.09,0.05,153.42,fluctuations
0.06,1.09,0.05,163.64,fluctuations
0.06,1.09,0.05,162.32,fluctuations
0.06,1.09,0.05,163.91,fluctuations
0.06,1.09,0.05,164.03,fluctuations
0.06,1.09,0.05,157.69,fluctuations
0.06,1.09,0.05,163.29,fluctuations
0.06,1.09,0.06,153.55,fluctuations
0.06,1.09,0.05,81.22,fluctuations
0.06,1.09,0.05,44.21,fluctuations
0.06,1.09,0.05,25.01,fluctuations
0.06,1.09,0.06,15.00,fluctuations
0.06,1.09,0.05,9.60,fluctuations
0.06,1.09,0.05,6.90,fluctuations
0.06,1.09,0.05,5.85,fluctuations
0.06,1.09,0.05,5.43,fluctuations
0.06,1.09,0.05,5.86,fluctuations
0.06,1.09,0.05,6.78,fluctuations
0.06,1.09,0.05,9.94,fluctuations
0.06,1.09,0.05,14.30,fluctuations
0.06,1.09,0.05,18.85,fluctuations
0.06,1.09,0.05,23.70,fluctuations
0.06,1.09,0.05,28.82,fluctuations
0.06,1.09,0.05,35.91,fluctuations
0.06,1.09,0.05,42.73,fluctuations
0.06,1.09,0.05,48.97,fluctuations
0.06,1.09,0.05,56.01,fluctuations
0.06,1.09,0.05,64.08,fluctuations
0.06,1.09,0.05,72.41,fluctuations
0.06,1.09,0.05,82.61,fluctuations
0.06,1.09,0.05,89.60,fluctuations
0.06,1.09,0.05,100.30,fluctuations
0.06,1.09,0.05,106.95,fluctuations
0.06,1.09,0.05,116.25,fluctuations
0.06,1.09,0.05,123.05,fluctuations
0.06,1.09,0.05,134.65,fluctuations
0.06,1.09,0.05,143.85,fluctuations
0.06,1.09,0.05,152.33,fluctuations
0.06,1.09,0.05,160.06,fluctuations
0.06,1.09,0.05,155.58,fluctuations
0.06,1.09,0.05,165.44,fluctuations
0.06,1.09,0.05,166.30,fluctuations
0.06,1.09,0.05,164.10,fluctuations
0.06,1.09,0.05,160.10,fluctuations
0.06,1.09,0.05,169.10,fluctuations
0.06,1.09,0.05,167.92,fluctuations
0.06,1.09,0.05,158.99,fluctuations
0.06,1.09,0.05,161.52,fluctuations
0.06,1.09,0.06,164.88,fluctuations
0.06,1.09,0.05,157.34,fluctuations
0.06,1.08,0.05,158.22,fluctuations
0.06,1.09,0.05,159.14,fluctuations
0.06,1.09,0.05,137.69,fluctuations
0.06,1.09,0.05,72.22,fluctuations
0.06,1.09,0.06,39.94,fluctuations
0.06,1.08,0.05,23.27,fluctuations
0.06,1.09,0.05,14.13,fluctuations
0.06,1.09,0.05,9.57,fluctuations
0.06,1.09,0.05,7.28,fluctuations
0.06,1.09,0.05,6.24,fluctuations
0.06,1.09,0.05,6.62,fluctuations
0.06,1.09,0.05,6.96,fluctuations
0.06,1.09,0.05,7.68,fluctuations
0.06,1.09,0.05,9.97,fluctuations
0.06,1.09,0.05,14.83,fluctuations
0.06,1.09,0.05,19.74,fluctuations
0.06,1.09,0.05,25.15,fluctuations
0.06,1.09,0.05,31.77,fluctuations
0.06,1.09,0.05,37.54,fluctuations
0.06,1.09,0.05,44.84,fluctuations
0.06,1.09,0.05,52.30,fluctuations
0.06,1.09,0.05,58.75,fluctuations
0.06,1.09,0.05,65.32,fluctuations
0.06,1.09,0.05,43.99,fluctuations
0.06,1.09,0.05,25.82,fluctuations
0.06,1.09,0.05,16.41,fluctuations
0.06,1.09,0.05,10.70,fluctuations
0.06,1.09,0.05,7.85,fluctuations
0.06,1.09,0.05,6.43,fluctuations
0.06,1.09,0.05,5.71,fluctuations
0.06,1.09,0.05,5.36,fluctuations
0.06,1.09,0.05,5.88,fluctuations
0.06,1.09,0.05,6.71,fluctuations
0.06,1.09,0.05,8.21,fluctuations
0.06,1.09,0.05,20.08,fluctuations
0.06,1.09,0.05,26.16,fluctuations
0.06,1.09,0.05,34.13,fluctuations
0.06,1.09,0.05,39.44,fluctuations
