rms_x,rms_y,rms_z,pw,label
0.03,1.09,0.05,197.79,bearing
0.03,1.09,0.05,202.25,bearing
0.03,1.09,0.05,203.15,bearing
0.03,1.09,0.05,199.17,bearing
0.03,1.09,0.05,206.26,bearing
0.03,1.09,0.05,204.03,bearing
0.03,1.09,0.05,203.74,bearing
0.03,1.09,0.05,197.85,bearing
0.03,1.09,0.05,207.37,bearing
0.03,1.09,0.05,203.69,bearing
0.03,1.09,0.05,201.14,bearing
0.03,1.09,0.05,205.45,bearing
0.03,1.09,0.05,205.45,bearing
0.03,1.09,0.05,203.75,bearing
0.03,1.09,0.05,202.15,bearing
0.03,1.09,0.05,200.70,bearing
0.03,1.09,0.05,198.50,bearing
0.03,1.09,0.05,200.97,bearing
0.03,1.09,0.05,200.46,bearing
0.03,1.09,0.05,206.53,bearing
0.03,1.09,0.05,198.97,bearing
0.03,1.09,0.05,201.21,bearing
0.03,1.09,0.05,199.55,bearing
0.03,1.09,0.05,207.35,bearing
0.03,1.09,0.05,204.35,bearing
0.03,1.09,0.05,202.33,bearing
0.03,1.09,0.05,196.66,bearing
0.03,1.09,0.05,206.26,bearing
0.03,1.09,0.05,204.30,bearing
0.03,1.09,0.05,202.18,bearing
0.03,1.09,0.05,202.26,bearing
0.03,1.09,0.05,210.11,bearing
0.03,1.09,0.05,208.88,bearing
0.03,1.09,0.05,207.16,bearing
0.03,1.09,0.05,208.03,bearing
0.03,1.09,0.05,209.79,bearing
0.03,1.09,0.05,210.27,bearing
0.03,1.09,0.05,206.61,bearing
0.03,1.09,0.05,206.73,bearing
0.03,1.09,0.05,206.27,bearing
0.03,1.09,0.05,209.63,bearing
0.03,1.09,0.05,208.57,bearing
0.03,1.09,0.05,205.33,bearing
0.03,1.09,0.05,205.69,bearing
0.03,1.09,0.05,209.00,bearing
0.03,1.09,0.05,202.45,bearing
0.03,1.09,0.05,201.40,bearing
0.03,1.09,0.05,202.52,bearing
0.03,1.09,0.05,202.94,bearing
0.03,1.09,0.05,209.97,bearing
0.03,1.09,0.05,206.78,bearing
0.03,1.09,0.05,205.57,bearing
0.03,1.09,0.05,206.11,bearing
0.03,1.09,0.05,213.40,bearing
0.03,1.09,0.05,211.90,bearing
0.03,1.09,0.05,208.23,bearing
0.03,1.09,0.05,205.24,bearing
0.03,1.09,0.05,203.59,bearing
0.03,1.09,0.05,207.12,bearing
0.03,1.09,0.05,205.41,bearing
0.03,1.09,0.05,204.78,bearing
0.03,1.09,0.05,201.97,bearing
0.03,1.09,0.05,209.61,bearing
0.03,1.09,0.05,208.48,bearing
0.03,1.09,0.05,206.31,bearing
0.03,1.09,0.05,204.68,bearing
0.03,1.09,0.05,209.52,bearing
0.03,1.09,0.05,208.58,bearing
0.03,1.09,0.05,207.52,bearing
0.03,1.09,0.05,207.26,bearing
0.03,1.09,0.05,202.85,bearing
0.03,1.09,0.05,209.73,bearing
0.03,1.09,0.05,210.69,bearing
0.03,1.09,0.05,208.54,bearing
0.03,1.09,0.05,205.45,bearing
0.03,1.09,0.05,202.25,bearing
0.03,1.09,0.05,190.82,bearing
0.03,1.09,0.05,193.26,bearing
0.03,1.09,0.05,190.88,bearing
0.03,1.09,0.05,196.59,bearing
0.03,1.09,0.05,195.00,bearing
0.03,1.09,0.05,192.32,bearing
0.03,1.09,0.05,193.91,bearing
0.03,1.09,0.05,192.41,bearing
0.03,1.09,0.05,195.93,bearing
0.03,1.09,0.05,196.91,bearing
0.03,1.09,0.05,197.46,bearing
0.03,1.09,0.05,188.85,bearing
0.03,1.09,0.05,191.78,bearing
0.03,1.09,0.05,192.46,bearing
0.03,1.09,0.05,194.58,bearing
0.03,1.09,0.05,198.44,bearing
0.03,1.09,0.05,195.95,bearing
0.03,1.09,0.05,195.50,bearing
0.03,1.09,0.05,196.35,bearing
0.03,1.09,0.05,198.97,bearing
0.03,1.09,0.05,194.14,bearing
0.03,1.09,0.05,195.09,bearing
0.03,1.09,0.05,190.62,bearing
0.03,1.09,0.05,193.66,bearing
0.03,1.09,0.05,194.73,bearing
0.03,1.09,0.05,191.19,bearing
0.03,1.09,0.05,193.32,bearing
0.03,1.09,0.05,189.56,bearing
0.03,1.09,0.05,194.51,bearing
0.03,1.09,0.05,194.30,bearing
